KullaniciId Tarih                   SinavId     SinavPuan
----------- ----------------------- ----------- ----------------------
100         2014-02-10 19:51:52.583 22          NULL
89          2014-07-09 09:24:57.447 32          NULL
89          2014-12-26 15:37:41.303 34          NULL
89          2015-01-28 09:56:19.963 40          NULL
99          2015-01-28 14:24:56.663 14          NULL
99          2014-07-09 09:30:07.373 32          NULL
102467      2014-02-05 09:43:44.690 22          NULL
102467      2014-02-24 10:21:26.627 23          NULL
102467      2014-02-11 10:40:59.060 24          NULL
102467      2014-02-24 10:20:56.173 25          NULL
102467      2014-02-24 10:29:56.607 26          NULL
102467      2014-02-24 10:22:28.200 27          NULL
102467      2014-02-10 18:41:35.490 28          NULL
102467      2014-05-08 17:24:05.193 30          NULL
102467      2014-05-08 17:22:13.310 31          NULL
103345      2014-05-13 14:07:47.530 28          NULL
103345      2014-07-09 11:58:27.610 32          100
103345      2014-07-11 09:07:52.750 33          NULL
101680      2014-05-30 14:22:30.337 31          NULL
102308      2014-07-09 10:07:17.130 32          NULL
102308      2015-01-28 09:28:44.987 34          NULL
102308      2015-01-28 10:00:01.797 40          NULL
103120      2014-07-09 17:52:04.083 32          NULL
103497      2014-07-09 18:34:09.947 32          NULL
104320      2015-02-26 23:48:43.900 14          NULL
104320      2015-02-26 23:49:34.147 39          NULL
103971      2015-01-28 09:28:36.830 34          NULL
103971      2015-01-28 09:56:12.147 40          NULL
103834      2015-01-28 10:27:27.067 34          NULL
103834      2015-01-28 11:53:24.563 39          NULL
103834      2015-01-28 11:24:32.117 40          NULL
103834      2015-03-26 09:10:46.990 41          NULL
103834      2015-03-26 09:10:31.247 44          NULL
103834      2015-03-26 09:10:00.157 45          NULL
103834      2015-03-25 16:47:49.243 46          NULL
103834      2016-11-30 19:42:32.677 50          96
103834      2016-11-30 20:07:26.773 53          NULL
104156      2015-01-28 15:58:58.880 14          NULL
104156      2015-02-26 10:14:30.060 38          NULL
104156      2015-02-26 09:05:25.863 42          NULL
104156      2015-02-26 09:04:29.500 43          NULL
104156      2018-09-19 11:42:24.923 53          NULL
104079      2015-02-26 10:06:51.073 14          NULL
104567      2015-02-26 10:13:04.960 37          NULL
104567      2015-02-26 10:53:36.223 38          NULL
104567      2015-02-27 09:00:24.117 39          NULL
104564      2015-02-27 15:20:26.550 14          NULL
104564      2015-02-27 10:41:36.397 38          NULL
104564      2015-02-27 15:02:17.000 39          NULL
104564      2015-02-27 14:53:39.703 40          NULL
104564      2015-02-27 14:56:33.907 42          NULL
104564      2015-02-27 14:48:24.317 43          NULL
104564      2015-03-26 08:58:01.183 44          NULL
104582      2015-02-26 12:09:21.543 37          NULL
104582      2015-02-26 10:16:22.613 40          NULL
104583      2015-02-26 13:06:28.027 14          NULL
104583      2015-02-26 10:39:39.190 37          NULL
104583      2015-02-26 10:37:57.320 40          NULL
104078      2015-02-26 15:15:12.690 14          NULL
104586      2015-02-26 16:04:47.180 14          NULL
104566      2015-02-27 10:12:52.140 14          NULL
104312      2015-02-27 14:55:18.887 43          NULL
101161      2015-02-27 18:03:06.663 39          NULL
104563      2015-02-27 19:31:41.717 14          NULL
104563      2015-02-27 18:24:49.763 38          NULL
104563      2015-02-27 18:48:20.770 39          NULL
104563      2015-03-27 19:45:16.690 41          NULL
104563      2015-02-27 20:38:57.723 42          NULL
104563      2015-03-27 19:35:08.210 45          NULL
104563      2015-03-27 19:31:40.013 46          NULL
104565      2015-02-27 20:02:47.400 14          NULL
104565      2015-02-27 19:49:02.270 39          NULL
104565      2015-03-27 17:51:55.920 41          NULL
104565      2015-03-27 18:03:45.957 44          NULL
104565      2015-03-27 12:42:18.050 46          NULL
104568      2015-03-27 12:52:29.057 46          NULL
104581      2015-03-27 13:39:26.907 46          NULL
105443      2015-06-07 15:42:27.177 22          NULL
105443      2015-06-20 14:26:14.673 23          NULL
105443      2015-06-07 15:25:31.210 24          NULL
105443      2015-06-07 12:06:27.157 28          NULL
108909      2016-09-30 16:51:57.173 48          NULL
1000022     2016-10-13 16:30:05.450 47          NULL
1000022     2016-10-13 16:29:32.587 49          NULL
1000043     2016-10-21 14:23:58.813 47          NULL
109292      2016-12-02 14:43:56.187 53          72
104676      2016-12-14 13:07:32.637 52          NULL
110168      2017-05-26 21:10:02.997 52          48
110196      2017-05-24 10:20:03.800 52          72
105307      2017-11-01 23:43:41.777 52          76
105307      2017-11-01 22:01:41.997 53          72
112739      2018-03-03 21:25:01.380 22          68
112739      2018-03-12 23:13:35.460 28          68
111827      2018-11-30 12:51:35.627 52          44
101595      2019-02-26 15:26:45.803 50          NULL

(95 rows affected)

